,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
47,2024-08-11,-660319.9312859064,525645.3838985027,732573.3332041457,-2876781.8189977603,1858651.1982617283,1288744.9319803794,-1272082.644291523,3606180.3077077987,1256662.1355112863,-1223067.5291333643,3463323.502395146,32082.796469093206,-438610.01150238974,450373.5172376265,0.0,0.0,0.0,628425.000694473
48,2024-08-18,-663755.6375198938,384825.4639799041,960528.1237290618,-2865179.5156003325,1865893.274098768,1352797.221953361,-1115977.8090508466,3397580.503363301,1256662.1354997375,-1223067.5291473814,3463323.5023842137,96135.08645362369,-212972.9515490684,379545.86564376875,0.0,0.0,0.0,689041.5844334672
49,2024-08-25,-667191.3437538815,181897.60563384416,1290044.3755910015,-2902201.800386301,1861529.9010716681,1405119.7735869633,-1049480.2018168569,3461842.9396958626,1256662.1355219306,-1223067.529110611,3463323.502412324,148457.63806503284,41252.72278135092,255861.9467743351,0.0,0.0,0.0,737928.4298330818
50,2024-09-01,-670627.049987869,-15049.864334949041,1594536.0229646333,-2952253.662367522,1857166.528044569,1385715.0246876564,-1100900.359759412,3491810.448584119,1256662.1355103822,-1223067.529124627,3463323.502401392,129052.88917727405,-131767.71522981735,373607.9454546003,0.0,0.0,0.0,715087.9746997874
51,2024-09-08,-674062.7562218566,-306581.11208159773,1758372.5365846986,-2937037.4076839373,1852052.6142534127,1288521.8723781835,-1193926.9371063781,3457672.516651867,1256662.135520134,-1223067.52912512,3463323.5024017203,31859.736858049742,-381337.96848990896,475116.553416427,0.0,0.0,0.0,614459.116156327
52,2024-09-15,-677498.4624558442,-550680.4170668302,1737172.8636263874,-2949723.4449480437,1858200.4888407819,1174128.574584228,-1272938.199019453,3454180.4603766147,1256662.1354748441,-1223067.5291899252,3463323.5023517446,-82533.56089061598,-523332.2116474193,450893.3529972437,0.0,0.0,0.0,496630.11212838383
53,2024-09-22,-680934.1686898319,-672856.7307848947,1654899.5953115507,-2971122.2275701105,1855296.5828880116,1113626.4097967192,-1341813.7256131745,3448073.128938671,1256662.1354970369,-1223067.5291531533,3463323.502379855,-143035.7257003178,-607145.8285800798,385157.5392376997,0.0,0.0,0.0,432692.24110688735
54,2024-09-29,-684369.8749238194,-620297.8594945753,1654878.1918326064,-2992497.0280660694,1851501.9523576817,1124384.5657446936,-1338032.0365754808,3488765.934460166,1256662.1354854887,-1223067.5291671706,3463323.5023689223,-132277.56974079483,-590540.6502878952,355001.4449504829,0.0,0.0,0.0,440014.6908208742
55,2024-10-06,-687805.5811578069,-595930.4595746079,1703430.284789897,-3015424.6288394486,1847697.2901061713,1166037.4890838652,-1268733.6539627092,3527080.0661395444,1256662.1355076816,-1223067.5291304002,3463323.502397034,-90624.64642381623,-513793.1647584104,369110.0774165991,0.0,0.0,0.0,478231.9079260583
56,2024-10-13,-691241.2873917945,-581203.190731828,1758257.0881294515,-3036800.4342994997,1843877.1490483547,1193437.0066333278,-1234851.9889808348,3541982.68447918,1256662.135496133,-1223067.5291444175,3463323.502386101,-63225.12886280537,-450083.7478342392,381672.7696579837,0.0,0.0,0.0,502195.7192415333
57,2024-10-20,-694676.9936257821,-578246.359113384,1743401.1548532643,-3051259.789861582,1833555.4926164628,1200467.418495748,-1249545.737862039,3543502.0694726813,1256662.135505885,-1223067.5291449106,3463323.502386429,-56194.71701013678,-431887.7081567878,362261.4327083462,0.0,0.0,0.0,505790.4248699659
58,2024-10-27,-698112.6998597697,-569554.1888679558,1711001.2017527698,-3065198.0054542185,1821919.3852746105,1208549.3471395206,-1234621.793504857,3554308.061703742,1256662.1354943365,-1223067.5291589268,3463323.5023754966,-48112.78835481587,-398137.05829729605,359894.1540643885,0.0,0.0,0.0,510436.6472797509
59,2024-11-03,-701548.4060937573,-575559.0584382043,1720536.7514069758,-3078679.5941550713,1815457.2188812504,1226085.846093661,-1215072.0460046418,3577589.3292541173,1256662.135516529,-1223067.529122157,3463323.502403608,-30576.289422868173,-359129.7352160487,350349.18968315976,0.0,0.0,0.0,524537.4399999037
60,2024-11-10,-704984.1123277448,-542909.2608297716,1750188.12037569,-3092822.292205748,1828318.1173409924,1236861.2922217196,-1214985.484907994,3594653.7845882354,1256662.1354712392,-1223067.5291869598,3463323.502353632,-19800.84324951974,-333309.8149824438,342205.7125503171,0.0,0.0,0.0,531877.1798939748
61,2024-11-17,-708419.8185617324,-570276.6367672556,1715229.2063708475,-3107985.005455347,1840965.5506486325,1229662.786990803,-1210394.6351679573,3594460.639693308,1256662.1354934324,-1223067.5291501903,3463323.502381743,-26999.3485026294,-327487.0290677103,320792.1481659636,0.0,0.0,0.0,521242.96842907055
62,2024-11-24,-711855.52479572,-600386.5318408172,1734905.2615421917,-3123247.8772274973,1838636.9658948544,1222324.6853856433,-1248409.881601575,3587322.4319503084,1256662.1355156256,-1223067.5291134198,3463323.502409854,-34337.45012998234,-313902.91606846795,294961.923578424,0.0,0.0,0.0,510469.16058992327
63,2024-12-01,-715291.2310297077,-545771.5443139074,1737449.11781132,-3138096.631560533,1827057.2605585896,1240584.8956752303,-1238199.8700073988,3590760.425345245,1256662.1355040772,-1223067.5291274358,3463323.5023989216,-16077.239828846892,-274485.6721674698,264891.6373313022,0.0,0.0,0.0,525293.6646455226
64,2024-12-08,-718726.9372636952,-544846.7441296552,1779728.8320618873,-3153382.9035427677,1815625.7920494373,1276245.1170044865,-1208606.8846471228,3625738.778576467,1256662.1355475702,-1223067.5290771425,3463323.5024382933,19582.981456916314,-220224.93476701085,289926.3098450898,0.0,0.0,0.0,557518.1797407913
65,2024-12-15,-722162.6434976828,-525039.7979140605,1808686.5461647038,-3145562.802757285,1804376.9236543828,1283825.7588413474,-1207011.0867677955,3628918.2721830537,1256662.1355022802,-1223067.5291419467,3463323.5023883176,27163.62333906708,-190634.91794647023,270832.7564391872,0.0,0.0,0.0,561663.1153436647
66,2024-12-22,-725598.3497316703,-616407.516609488,1725743.1553300507,-3143123.451476538,1793165.9309576144,1230061.6398766378,-1239882.7100992862,3568123.298204528,1256662.1354907318,-1223067.5291559617,3463323.502377384,-26600.495614093972,-217871.45959437455,195755.94071410882,0.0,0.0,0.0,504463.2901449675
67,2024-12-29,-729034.0559656579,-695299.1022870739,1651485.9661066963,-3142042.1135660904,1797224.77767001,1140287.0784326578,-1307781.1820210926,3481574.133962723,1256662.1355004834,-1223067.5291564565,3463323.5023777126,-116375.0570678256,-295128.7581934324,78988.52990408668,0.0,0.0,0.0,411253.0224669998
68,2025-01-05,-732469.7621996455,-741815.3796817409,1539431.4084133424,-3158961.011392249,1799703.6656798003,1081592.1129361829,-1364990.3695722774,3398953.83938324,1256662.1355226762,-1223067.529119686,3463323.502405823,-175070.02258649364,-327988.08028152474,-6478.496124615776,0.0,0.0,0.0,349122.35073653737
69,2025-01-12,-735905.4684336331,-769736.2801942037,1555365.8409654764,-3193197.6271480867,1786131.0376306956,1095583.243580854,-1359695.6910323473,3385086.767326637,1256662.1355111282,-1223067.5291336998,3463323.5023948913,-161078.89193027455,-295489.6445826225,-21314.49770492699,0.0,0.0,0.0,359677.77514722093
70,2025-01-19,-739341.1746676207,-697972.4255293575,1630782.5758915301,-3236744.248514576,1773256.6636458142,1156024.2692767873,-1296062.6502512265,3421807.0474881134,1256662.1354995798,-1223067.529147719,3463323.502383959,-100637.86622279297,-219701.0529643324,20665.79313005425,0.0,0.0,0.0,416683.0946091666
71,2025-01-26,-742776.8809016083,-650165.2178633072,1653995.2288144869,-3261157.1717485883,1765146.9177213062,1200174.761409674,-1235162.1255212417,3455835.454868097,1256662.135488031,-1223067.5291617352,3463323.5023730267,-56487.37407835703,-154818.95734761452,49335.89580687179,0.0,0.0,0.0,457397.8805080658
72,2025-02-02,-746212.5871355959,-677852.4307081151,1663810.1922343317,-3270830.3787670056,1756451.8815176957,1197167.134566104,-1245016.662647905,3444202.536745734,1256662.1355102246,-1223067.5291249645,3463323.5024011373,-59495.000944120235,-128587.69472315656,10692.482939070045,0.0,0.0,0.0,450954.5474305082
73,2025-02-09,-749648.2933695833,-707287.4036342315,1630647.9778646426,-3278070.825067321,1748068.9820097291,1175134.3985506385,-1280594.2320565677,3408225.2279849118,1256662.1354649342,-1223067.5291897682,3463323.502351161,-81527.73691429605,-134286.64014952182,-29150.500839929293,0.0,0.0,0.0,425486.10518105514
74,2025-02-16,-753083.9996035709,-655603.3939059724,1615694.3078306215,-3311476.6512195393,1734929.1413255169,1180271.9922498425,-1251576.292305989,3393716.1212946586,1256662.1355084274,-1223067.5291394752,3463323.5023905337,-76390.14325858516,-110244.70939034512,-42852.700062376236,0.0,0.0,0.0,427187.9926462716
75,2025-02-23,-756519.7058375586,-643989.2706269273,1656598.824024082,-3352053.3075531153,1739808.3926421392,1221297.6263241887,-1236717.1794360057,3383851.789114851,1256662.135496879,-1223067.5291534914,3463323.5023796004,-35364.50917269059,-52728.09095555452,-16229.024394261627,0.0,0.0,0.0,464777.92048663006
76,2025-03-02,-759955.4120715462,-616732.4101680091,1667798.0325588651,-3392802.0266586016,1749727.1683269455,1264857.8871880113,-1209512.8243316014,3398851.345391875,1256662.1355190724,-1223067.5291167195,3463323.502407712,8195.751668938885,-18441.33253000335,34143.90972069643,0.0,0.0,0.0,504902.4751164651
77,2025-03-09,-763391.1183055338,-603573.0673030574,1697664.1130972619,-3432661.196742288,1777401.098324476,1280927.5485221895,-1229452.810462477,3405473.8111791345,1256662.135541265,-1223067.5290799513,3463323.502435822,24265.412980924255,-17270.42495199775,69596.23516718445,0.0,0.0,0.0,517536.4302166557
78,2025-03-16,-766826.8245395214,-596860.3878603559,1690218.120938837,-3446067.1685363846,1753156.9407491195,1277597.233370784,-1264496.4559413204,3393942.661071889,1256662.1354959754,-1223067.5291447535,3463323.5023858463,20935.097874808787,-40464.47981003783,85952.7698323277,0.0,0.0,0.0,510770.4088312626
79,2025-03-23,-770262.530773509,-597728.0734579847,1715765.8342723246,-3447995.2305076546,1735173.9803315366,1283904.1312607215,-1284088.9583957207,3381669.378858955,1256662.135518168,-1223067.5291079837,3463323.5024139574,27241.995742553474,-62899.63601309859,116875.81125117301,0.0,0.0,0.0,513641.60048721253
80,2025-03-30,-773698.2370074965,-537920.2516704453,1729848.4692637771,-3463543.694259716,1744192.6578854609,1308035.2514891962,-1274961.2200329688,3391258.571677185,1256662.13550662,-1223067.5291220015,3463323.5024030255,51373.1159825762,-61956.20853500415,160522.2916311066,0.0,0.0,0.0,534337.0144816997
81,2025-04-06,-777133.943241484,-542703.333989009,1757342.8392653929,-3495321.4451487246,1752294.248517576,1327211.2500728352,-1288791.9399954688,3438222.4129547197,1256662.1355163718,-1223067.5291224932,3463323.5024033533,70549.11455646355,-68081.1650851808,190622.7238731073,0.0,0.0,0.0,550077.3068313512
82,2025-04-13,-780569.6494754716,-527471.5432292381,1722133.1645420762,-3511307.3695473257,1750409.9597747806,1320735.1090345248,-1293337.6332164588,3457140.645860945,1256662.1355048225,-1223067.529136511,3463323.50239242,64072.97352970203,-96114.95765056236,213069.90825807402,0.0,0.0,0.0,540165.4595590532
83,2025-04-20,-784005.3557094592,-584097.0242723456,1708517.973958712,-3511830.3617044846,1744024.4633083167,1300369.5114551052,-1308704.5516445483,3433139.8283891017,1256662.1354932745,-1223067.5291505284,3463323.5023814887,43707.375961830374,-144273.84097390698,206904.64863849364,0.0,0.0,0.0,516364.155745646
84,2025-04-27,-787441.0619434468,-577942.9258279346,1694764.3176438527,-3535803.6865311954,1737759.186495356,1296954.1212043744,-1304561.7098424148,3407718.693416888,1256662.1355030262,-1223067.52915102,3463323.5023818156,40291.98570134789,-160084.4009252509,223667.64696166606,0.0,0.0,0.0,509513.0592609276
85,2025-05-04,-790876.7681774345,-532062.0887780035,1747197.3458931006,-3546970.863187288,1731433.5366621555,1320772.4455465586,-1278989.420476732,3385753.0389928473,1256662.1355252194,-1223067.5291142492,3463323.502409927,64110.31002133913,-159672.53739624325,269295.7418699781,0.0,0.0,0.0,529895.6773691241
86,2025-05-11,-794312.474411422,-526896.918596139,1733666.4451728747,-3558342.439557144,1720142.6435582354,1347844.0715215022,-1208917.1595930122,3413072.325893461,1256662.1354799296,-1223067.5291790543,3463323.502359951,91181.93604157295,-159215.07479157063,310272.8261944464,0.0,0.0,0.0,553531.5971100802
87,2025-05-18,-797748.1806454096,-541076.3167438158,1737818.1085674865,-3593051.9639890036,1705600.4098587623,1350170.9316225075,-1186367.0021080165,3422086.3655014574,1256662.1355021226,-1223067.5291422834,3463323.5023880624,93508.79612038516,-180014.03754522442,329464.17067133525,0.0,0.0,0.0,552422.7509770979
88,2025-05-25,-801183.8868793971,-582592.5364025531,1744796.274501593,-3626351.377359117,1689563.1978226937,1330573.8339902645,-1195609.242337172,3448311.552176582,1256662.1354905737,-1223067.5291562998,3463323.50237713,73911.69849969055,-230763.22612726342,338295.9191553936,0.0,0.0,0.0,529389.9471108674
