,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
23,2023-09-28,621196.5012349498,95364.15931340706,106306.98333721179,304837.42063815537,945167.9388140579,-520221.0547682646,-843558.0482367587,-207861.44976237125,-514018.0883583055,-838354.5803208728,-199004.8156621058,9867.114547249223,9210.163560601966,10416.29756700103,-16070.080957208247,-19795.53601337894,-12332.428336627998,0.0,0.0,0.0,100975.44646668521
24,2023-09-29,621105.50045278,89628.11455337048,102002.42465507342,304695.9130878398,945007.6327049256,-525751.127243595,-849814.5962622088,-211272.46503363652,-514018.0883599624,-838354.5803174028,-199004.8156588773,3865.130429592193,3307.4001099613965,4399.179374868648,-15598.169313224747,-19270.826467608626,-12084.163731498673,0.0,0.0,0.0,95354.37320918508
25,2023-09-30,621014.4996706102,93318.78242259457,104412.2074312215,304567.15206984465,944847.3265957935,-522032.6349596827,-846744.1661551298,-209113.8027949213,-514018.0883651682,-838354.5803208724,-199004.81567213248,7124.262628614826,6401.616924514857,7893.188178689032,-15138.809223129367,-18779.425103953785,-11729.038581315652,0.0,0.0,0.0,98981.86471092748
26,2023-10-01,620923.4988884404,74911.66068664879,86279.02757147486,304506.05064338987,944687.0204866611,-540823.0489268013,-864514.7956940157,-229003.63522360785,-514018.0883703738,-838354.5803243419,-199004.81568538764,-12104.955609808778,-12898.652081108763,-11291.247827467781,-14700.004946618727,-18325.217255018197,-11321.856402987816,0.0,0.0,0.0,80100.44996163913
27,2023-10-02,620832.4981062707,71666.32602579513,83885.65167936211,304444.949216935,944526.714377529,-543092.9108642053,-867821.6437283409,-230023.79307668822,-514018.0883755795,-838354.5803278113,-199004.81569864292,-14787.103762411909,-15472.984997012374,-13974.636400406616,-14287.718726213921,-17948.713236319833,-10842.231311281172,0.0,0.0,0.0,77739.58724206535
28,2023-10-03,620741.4973241008,86622.37931470828,99835.02706018099,304383.84779048024,944366.4082683966,-527657.5785184294,-851167.4026655883,-215922.77425424845,-514018.08837723633,-838354.5803243413,-199004.8156954144,266.2305424042806,-417.9134841357066,866.0564715445029,-13905.72068359733,-17427.40219187176,-10513.233153748117,0.0,0.0,0.0,93083.91880567139
29,2023-10-04,620650.4965419311,93377.61435450205,105199.49661088857,304322.7463640254,944206.1021592645,-521804.2885107378,-845557.4641304004,-209729.463493441,-514018.0883824422,-838354.580327811,-199004.81570866966,5769.321224337245,5060.470905740122,6468.614036738394,-13555.521352632939,-17040.06827603998,-10328.729305536046,0.0,0.0,0.0,98846.20803119324
30,2023-10-05,620559.4957597613,97533.91816455832,110030.51571360088,304261.64493757056,944045.7960501323,-517387.3630055029,-841794.6627625375,-205539.9224797775,-514018.08836404653,-838354.5803232214,-199004.81567431786,9867.1145472495,9210.163560602936,10416.297567001471,-13236.389188705816,-16676.45450929062,-10149.256905996528,0.0,0.0,0.0,103172.1327542584
31,2023-10-06,620468.4949775917,90934.81371305061,103730.48487349969,304200.5435111157,943885.489941,-523098.41047937504,-848335.9293083143,-209197.03947878807,-514018.0883657034,-838354.5803197513,-199004.81567108945,3865.1304295905907,3307.400109956097,4399.17937486293,-12945.452543262185,-16275.99127558954,-9881.368274569271,0.0,0.0,0.0,97370.08449821663
32,2023-10-07,620377.4941954218,94393.82478190945,106699.8422180865,304139.44208466087,943725.1838318678,-519571.70848534524,-844092.2214165473,-207029.5275098657,-514018.0883709091,-838354.5803232207,-199004.81568434456,7124.262628618476,6401.616924513971,7893.188178695728,-12677.882743054495,-15922.04556217605,-9621.170393256678,0.0,0.0,0.0,100805.78571007657
