pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2024-02-02,111991,138410.53,1708531.1,997582.8833333333,87824
2024-02-03,129558,155083.38,1779283.9,1052232.7666666666,93988
2024-02-04,94804,120088.56,1297771.04,719978.5666666667,70222
2024-02-05,88263,114957.52,1368462.05,767096.5333333333,71695
2024-02-06,102360,133006.01,1663056.13,979372.4333333333,84312
2024-02-07,100418,129634.44,1652530.42,982797.05,82823
2024-02-08,113468,148396.53,1853651.81,1099495.5833333333,92697
2024-02-09,115823,145802.76,1782606.38,1044663.0333333333,90280
2024-02-10,129692,158245.68,1793070.44,1060847.9,93745
2024-02-11,103112,132832.88,1405509.12,760632.85,76694
2024-02-12,92231,121195.02,1426675.85,804470.8333333334,74387
2024-02-13,73108,93033.4,1052144.62,530690.0,57946
2024-02-14,126097,154300.8,1997927.41,1195591.1333333333,101248
2024-02-15,123248,161423.16,1995606.0,1185675.9333333333,101165
2024-02-16,109644,135897.72,1665471.97,985482.35,85286
2024-02-17,122121,144637.27,1646427.14,967375.7333333333,88354
2024-02-18,104808,127981.15,1388470.75,786272.05,75381
2024-02-19,77496,96686.37,1029635.13,557401.9666666667,58167
2024-02-20,97098,125126.44,1522373.8,882464.8666666667,78030
2024-02-21,105729,135814.29,1670201.17,973076.95,84930
2024-02-22,116160,148456.17,1847768.22,1099147.2833333334,93407
2024-02-23,108483,135805.08,1621178.0,934081.4833333333,83323
2024-02-24,134439,163505.41,1861217.48,1104714.9,98307
2024-02-25,100751,127850.32,1380846.41,771534.9833333333,75392
2024-02-26,80500,104788.34,1270755.81,730510.2833333333,66109
2024-02-27,116645,151529.24,1908528.14,1129998.8333333333,97312
2024-02-28,109154,142633.4,1795458.18,1081030.5833333333,90547
2024-02-29,127938,168850.95,2090999.84,1244401.5666666667,105429
2024-03-01,122775,154484.3,1871290.94,1089804.85,96202
2024-03-02,135896,163499.13,1922250.39,1164113.5333333334,101463
2024-03-03,101265,130242.46,1416440.71,815314.65,75729
2024-03-04,92010,120935.4,1426181.27,799587.6333333333,74512
2024-03-05,110597,138868.7,1802421.84,1080426.4166666667,91134
2024-03-06,129966,165840.99,2156766.85,1282933.75,108362
2024-03-07,120184,158590.61,1954579.53,1160980.2,98707
2024-03-08,123730,156993.46,1898055.17,1118788.0166666666,97011
2024-03-09,155434,185460.1,2241084.76,1370282.2,117445
2024-03-10,106111,135669.56,1486583.24,835907.8166666667,80869
2024-03-11,96636,125112.65,1477763.05,836780.4333333333,77596
2024-03-12,108489,141857.29,1764003.94,1052637.8666666667,88788
2024-03-13,116547,153983.64,1897750.28,1126440.8333333333,95421
2024-03-14,132443,177557.63,2197902.83,1319494.3333333333,108644
2024-03-15,131525,169331.81,2030363.86,1207744.8,103367
2024-03-16,143624,182265.53,2058455.82,1242315.55,106622
2024-03-17,101907,133356.41,1436976.4,816110.6166666667,77525
2024-03-18,91299,120279.37,1399324.38,782499.5833333334,73802
2024-03-19,108919,143885.78,1752594.37,1027524.1166666667,89435
2024-03-20,115507,156757.69,1877936.8,1107882.7666666666,95635
2024-03-21,126601,173637.91,2045189.5,1218318.0333333334,104855
2024-03-22,118229,155925.62,1805494.84,1061225.6166666667,93382
2024-03-23,133425,168753.63,1858710.23,1130641.5333333334,100134
2024-03-24,103248,136758.39,1417599.04,813954.2833333333,77455
2024-03-25,91215,120053.48,1381311.12,794680.9166666666,72354
2024-03-26,110729,150903.69,1769935.54,1053586.15,90041
2024-03-27,117763,158389.42,1906969.19,1161925.4166666667,96116
2024-03-28,125800,165961.44,2033674.85,1272304.4,102491
2024-03-29,126012,161460.4,1836205.99,1077206.1666666667,95776
2024-03-30,126739,159480.45,1730829.24,1045863.35,91928
2024-03-31,103578,136755.94,1383144.45,789923.7833333333,75860
2024-04-01,93281,121964.71,1388099.17,791456.6833333333,73122
2024-04-02,127380,166365.83,2049768.05,1283606.6833333333,104532
2024-04-03,134464,175619.42,2215113.08,1368528.8833333333,110829
2024-04-04,133133,182666.47,2162048.83,1325194.8833333333,108967
2024-04-05,137565,182634.01,2109206.34,1278087.4,107845
2024-04-06,141142,184883.06,2021205.92,1227456.1666666667,105504
2024-04-07,107795,144246.04,1507821.68,868333.0166666667,81293
2024-04-08,94791,127619.57,1445385.89,811753.7,76479
2024-04-09,115027,159289.72,1870918.43,1125431.2333333334,94968
2024-04-10,115857,169063.89,1895287.64,1083272.8833333333,97120
2024-04-11,136342,192523.83,2266569.79,1391810.65,113614
2024-04-12,125590,164304.11,1936949.17,1164117.8833333333,99123
2024-04-13,144675,185086.75,2032091.51,1229156.3666666667,106945
2024-04-14,112725,151277.28,1594008.11,938042.05,84982
2024-04-15,97252,129646.21,1520573.24,886512.75,78216
2024-04-16,106680,143348.68,1753164.65,1063804.9,87521
2024-04-17,122528,160992.91,2016852.2,1229771.0666666667,100649
2024-04-18,129551,170234.54,2128818.21,1299710.4,106315
2024-04-19,123040,156742.18,1892397.55,1133542.0333333334,95661
2024-04-20,141633,183349.57,2047780.08,1260275.1166666667,105926
2024-04-21,108208,144176.08,1515320.75,870708.2,81562
2024-04-22,89068,117232.72,1345822.72,760964.8833333333,70664
2024-04-23,99731,131236.32,1565324.09,902356.2666666667,79964
2024-04-24,105710,139989.64,1710540.5,1017942.9,85746
2024-04-25,118070,151654.52,1917890.28,1169963.6166666667,95257
2024-04-26,115883,144506.01,1757315.43,1035654.55,88968
2024-04-27,130605,160560.95,1814703.68,1090592.9,95051
2024-04-28,101501,134534.96,1402483.21,791593.0166666667,75727
2024-04-29,93776,124207.33,1444101.18,820617.3166666667,74946
2024-04-30,110131,146171.57,1785093.95,1047253.55,89866
2024-05-01,116809,155459.11,1936780.18,1167534.6833333333,95890
2024-05-02,127989,170851.95,2120808.49,1286713.2166666666,104451
2024-05-03,130446,168678.14,2018043.43,1203864.5,101771
2024-05-04,147604,187807.18,2088724.63,1271437.7166666666,108568
2024-05-05,120981,161196.05,1754528.99,1000780.9333333333,92987
2024-05-06,94658,126327.9,1540356.56,920759.3166666667,77499
2024-05-07,113907,150667.69,1892258.54,1160914.6,93405
2024-05-08,120194,159519.51,2025451.35,1231179.4,99326
2024-05-09,130076,173848.55,2176207.12,1341932.6666666667,106354
2024-05-10,136635,174915.87,2164984.99,1315047.0833333333,108906
2024-05-11,141539,180219.16,2024056.1,1243423.0333333334,105299
2024-05-12,117245,153176.01,1627486.8,943696.9833333333,87356
2024-05-13,103798,139881.05,1684223.51,1002910.8833333333,84753
2024-05-14,121749,161725.49,2092022.36,1295934.75,101043
2024-05-15,126918,165031.22,2181990.63,1346194.2666666666,105421
2024-05-16,135600,181718.96,2293612.38,1401994.2833333334,111573
2024-05-17,134355,176367.09,2108907.25,1255575.6666666667,105603
2024-05-18,145516,185004.98,2117234.26,1284339.7833333334,108995
2024-05-19,113314,152262.9,1640548.52,971917.3333333334,86172
